latest.student.size,latest.cost.tuition.in_state,school.name,school.state,school.city
225.0,,Milan Institute of Cosmetology-San Antonio Military,TX,San Antonio
,,Brite Divinity School,TX,Fort Worth
61.0,,Trend Barber College,TX,Houston
13.0,,Manuel and Theresa's School of Hair Design-Bryan,TX,Bryan
2073.0,16000.0,Southwest University at El Paso,TX,El Paso
171.0,,Paul Mitchell the School-Austin,TX,Austin
361.0,,Paul Mitchell the School-San Antonio,TX,San Antonio
111.0,16926.0,Remington College-Houston Southeast Campus,TX,League City
28.0,,Hands on Therapy,TX,Mesquite
199.0,,MediaTech Institute-Dallas,TX,Dallas
250.0,,Aveda Arts & Sciences Institute-San Antonio,TX,San Antonio
120.0,13566.0,South Texas Training Center,TX,Pharr
498.0,,Lamson Institute,TX,San Antonio
423.0,,South Texas Vocational Technical Institute-Brownsville,TX,Brownsville
533.0,,Miller-Motte College-STVT-Corpus Christi,TX,Corpus Christi
65.0,,DuVall's School of Cosmetology,TX,Bedford
38.0,,Texas Beauty College,TX,Haltom city
316.0,,Avenue Five Institute,TX,Austin
132.0,,The Salon Professional Academy-Lewisville,TX,Lewisville
2293.0,13920.0,Strayer University-Texas,TX,Farmers Branch
61.0,,Peloton College,TX,Dallas
52.0,,ABC Beauty Academy,TX,Richardson
71.0,,Salon & Spa Institute,TX,Brownsville
6599.0,9654.0,Texas A&M University-San Antonio,TX,San Antonio
422.0,,Fortis Institute,TX,Houston
631.0,,Southern Careers Institute-Brownsville,TX,Brownsville
543.0,,Southern Careers Institute-Harlingen,TX,Harlingen
1068.0,,Pima Medical Institute-Houston,TX,Houston
762.0,,Miller-Motte College-STVT-San Antonio,TX,San Antonio
194.0,,Concorde Career College-Dallas,TX,Dallas
195.0,,Concorde Career College-San Antonio,TX,San Antonio
448.0,,Milan Institute of Cosmetology-El Paso,TX,El Paso
1610.0,,Universal Technical Institute-Dallas Fort Worth,TX,Irving
312.0,,Ogle School Hair Skin Nails-North Dallas,TX,Dallas
51.0,,Diamonds College,TX,Sherman
38.0,,Buckner Barber School,TX,Dallas
609.0,15436.0,North American University,TX,Stafford
2270.0,20380.0,Chamberlain University-Texas,TX,Houston
18.0,,Manuel and Theresa's School of Hair Design-Victoria,TX,Victoria
360.0,,Paul Mitchell the School-Arlington,TX,Arlington
132.0,15750.0,Criswell College,TX,Dallas
51.0,,UCAS University of Cosmetology Arts & Sciences-La Joya,TX,La Joya
90.0,,Vogue College of Cosmetology-San Antonio Fredericksburg,TX,San Antonio
92.0,,Vogue College of Cosmetology,TX,San Antonio
808.0,,Rio Grande Valley College,TX,Pharr
129.0,,Wade Gordon Hairdressing Academy,TX,Amarillo
1162.0,16574.0,West Coast University-Texas,TX,Richardson
228.0,,Ogle School Hair Skin Nails-Denton,TX,Denton
211.0,18145.0,South University-Austin,TX,Round Rock
466.0,,Ogle School Hair Skin Nails-San Antonio,TX,San Antonio
720.0,,The College of Health Care Professions-Dallas,TX,Dallas
1076.0,,The College of Health Care Professions-Fort Worth,TX,Fort Worth
152.0,,CyberTex Institute of Technology,TX,Austin
293.0,,M T Training Center,TX,Grand Prairie
229.0,7720.0,Grace School of Theology,TX,Conroe
1089.0,,Southern Careers Institute-San Antonio,TX,San Antonio
28.0,,Cosmetology Academy of Texarkana,TX,Texarkana
8.0,17408.0,DeVry University-Texas,TX,Irving
114.0,,Alamo City Barber College,TX,San Antonio
1750.0,7363.0,Texas A&M University-Central Texas,TX,Killeen
32.0,,Neecee's Barber College,TX,Abilene
57.0,,Bella Cosmetology and Barber College,TX,Greenville
112.0,,Total Transformation Institute of Cosmetology,TX,San Marcos
29.0,,Yahweh Beauty Academy,TX,Killeen
550.0,,Ogle School Hair Skin Nails-Stafford,TX,Stafford
5.0,,University of Phoenix-Texas,TX,Dallas
2878.0,9595.0,University of North Texas at Dallas,TX,Dallas
138.0,,Houston Training Schools-Gessner,TX,Houston
3.0,,The Vocational Nursing Institute Inc,TX,Houston
200.0,,Salon Boutique Academy,TX,Addison
171.0,,GA Beauty & Barber School,TX,McAllen
77.0,,The Recording Conservatory of Austin,TX,Austin
54.0,,Laredo CHI Academy Beauty School,TX,Laredo
155.0,,Cortiva Institute-Arlington,TX,Arlington
1962.0,,Tulsa Welding School-Houston,TX,Houston
617.0,,Pima Medical Institute-El Paso,TX,El Paso
96.0,,Wade Gordon Hairdressing Academy-Lubbock,TX,Lubbock
54.0,,Texas College of Cosmetology-Lubbock,TX,Lubbock
9437.0,7212.0,Texas State Technical College,TX,Waco
75.0,,Natural Images Beauty College,TX,Clute
11.0,,Mission Beauty Institute,TX,Mission
6471.0,3412.0,Northeast Lakeview College,TX,Universal City
133.0,,Paul Mitchell the School-Clear Lake,TX,Webster
787.0,,The College of Health Care Professions-McAllen Campus,TX,McAllen
